title,author,century,text
Sonetos – - II -,Rodrigo de Carvajal y Robles,15-17,"Ya no culpo al amor porque no es parte
ya para deshelar tu pecho frío,
porque todo su fuego está en el mío
y mi fuego no aspira a deshelarte.

Antes si de él me pides una parte
para amarte y matar a tu desvío
no te ha de dar ninguna mi albedrío
por no perder ninguna de adorarte.

Y pues la obstinación de mi firmeza
para tu sequedad, no busca medio,
busca fiereza tú, para matarme,

que con desvío, sequedad, fiereza,
es bien que contradigas mi remedio,
pues yo mismo no aspiro a remediarme.

"
A la muerte de don Anastasio Pantaleón de Ribera,Juan de Vidarte,15-17,"Oscura noche baña al claro día,
y a la confusa noche en caos terreno,
todo lo escucho de gemidos lleno
cuanto alberga en ti el Orbe, cuanto cría

Por la gran orfandad de la Poesía
el dolor tenga fuerza de veneno,
pues murió el Cisne de este río ameno,
que lo fue sólo cuando en él vivía.

Mas que nueva impresión miro brillante
la guirnalda de Ariadna por corona,
y la lira de estrellas fue instrumento

Si es mi Anastasio, él es que al más errante,
planeta su dulzura le aprisiona,
si da a los Astros fijos movimiento.

"
"A la muerte de doña María de Herrera, dama hermosísima de Alcalá",Anastasio Pantaleón de Ribera,15-17,"Debajo, huésped, de esta losa fría
no feudo no, violencia sí temprana
o de la muerte a la segur villana
la que deidad vivió, yace María

Sin privilegio cede al fatal día
la caduca beldad, que soberana
el ser sólo mortal tuvo de humana
cuando la juventud mejor vivía

Suspenda el pie tu justa reverencia,
o huésped, cuando el cielo a más reposo
traslada su beldad heroicamente;

Y el estorbo te admire sin presencia
de ese pórfido, ya que religioso
aun su hermosa quietud sagrado miente

"
"Al nacimiento del señor Marqués de Villalba, su hijo del señor Duque de Feria, y de mi señora doña Isabel de Córdoba, hija del Duque de César",Carlos Boyl,15-17,"La Cesarina excelsa hermosa Luna
del sol de Feria amando el nuptio asiento
al alma ( de sus rayos movimiento)
entre llamas de luz puso en la cuna.

Diole estado en naciendo la Fortuna,
Mercurio y Marte, letras y ardimiento,
Apolo y Iove raro entendimiento,
que es don que de los otros es columna.

El Cielo (por remate de los bienes
que a esta Alba suya venturosa envía)
al nacer en Valencia le hizo salva

¡Oh suceso que a ser único vienes!
pues vio Valencia al Alba en medio día,
naciendo el marqués bello de Villalba.

"
Soneto,Alonso de Salas Barbadillo,15-17,"Trasladas del Latino la Elocuencia,
Ximénez docto al Español divino,
y de las cultas frases del Latino
as reducido al arte la excelencia.

El sagrado farol de tu prudencia
enseña a los mortales un camino
tan fácil, cuanto raro, y peregrino
para llegar al puerto de la ciencia

Y pues el justo intento que te llama
es mostrar a las lenguas que más saben
el alto estilo que de hablar ofreces

A las divinas lenguas de la fama
enséñalas también porque se alaben,
y sabrán alabarte cual mereces.

"
En alabanza del doctor Juan Pérez de Montalbán,Juan Ramírez Vela,15-17,"Canoro influjo el Apolíneo acento,
tan deidad a su Lira que le inspira,
que ya es constelación la que fue Lira,
primera causa, la que fue instrumento.

Del Español Apolo del Portento
Feliz, dulce otra Lira, cuantos gira
aquella paralelos, esta admira,
Discurso, Inteligencia, y Movimiento.

Vega, y Monte, si bien forma difieren,
no magnitud, no Eclípticas doradas:
porque siendo una voz, un plectro en suma.

Muertos se vivifican, pues adquieren,
mirar muriendo sobre el Sol fijadas,
Lope su Lira, y Montalbán su Pluma.

"
Al mismo tema,Juan Valle de Velasco,15-17,"Quien duda que sacase el Tracio Orfeo
la cara esposa del infierno oscuro,
que el tierno llanto en el tormento duro
movió las Furias, y paró el Leteo;

Oiga la voz de este Español Museo,
y verá que hace más su canto puro,
pues trueca Febo de su voz seguro
el gobierno y razón de su Museo.

Que ya sus blancos cisnes, que solían
cantar, del sabio Dios son reprobados
por voces bajas, roncas y confusas

Las Moscas ama, y ya las Musas fían
de ellas solas secretos reservados,
y Moscas son los cisnes de las Musas

"
Soneto,Francisco de Figueroa,15-17,"Como Me viese amor desnudo y tierno,
temblando el triste va buscando un día
donde escaparse de la nieve fría
y el hielo mitigar del recio invierno

Mas como vido el resplandor eterno
que de la hermosa Fili allí se vía,
lumbre debe de haber aquí decía;
y entrando, busca a su dolor gobierno

Tocó en el seno el niño y dióle enojos,
que estaba frío más que nieve el seno,
y el corazón, que es piedra, mal le trata,

huyó del corazón, fuese a los ojos,
y como vio lugar tan dulce y bueno,
allí quiso vivir, y de allí mata.

"
Soñé que una piedra me arrojaba,Francisco de Terrazas,15-17,"Soñé que una piedra me arrojaba
quien mi querer sujeto así tenía,
y casi ya en la boca me cogía
una fiera que abajo me esperaba

Yo, con temor buscando, procuraba
de dónde con las manos me tendría,
y el filo de una espada la una asía
y en una hierbezuela la otra hincaba

La yerba a más andar la iba arrancando
la espada a mí la mano deshaciendo,
yo más sus filos vivos apretando

¡Oh, mísero de mí, que mal me entiendo
pues huelgo verme estar despedazado
de miedo de acabar mi mal muriendo!

"
Buena suerte de día,Diego Ramírez Pagan,15-17,"Las noches sin dormir paso, esperando
que se levante la hermosa aurora,
venido el día, se me antoja un hora
que vuela sin saber el cómo o cuándo

Al sol que se detenga estoy rogando,
y a la luz que camine a paso ahora,
pues esta de mis ojos ya no mora
conmigo, si la tuya va cesando.

Oh vista bella, quien de tus razones
gozar siempre pudiese la dulzura,
mas aviéneme a mí como al dormido

Que si sueña tesoro, son carbones,
si ardiente sol, tiniebla es muy oscura
y el alegría, llanto entristecido.

"
A fray Pedro de Padilla por su Tesoro de poesías publicado en 1587,Ruiz López de Zúñiga,15-17,"Segundo Apolo (por venir postrero)
primero en ser de ingenio levantado,
y aunque segundo, al mundo celebrado,
del mundo conocido por primero.

Contra el tiempo más vario, y más ligero,
la fama escriba tu blasón sagrado,
en templo de e inmortal nombre, fijado
con tinta de oro, y en papel de acero.

Mas deja fama de escribir tal suma
pues no puede sumar tanta grandeza,
cual es la que en Padilla encierra el cielo.

Que a su furor divino y su destreza,
contra la suerte de este frágil suelo
le ha de inmortalizar su inmortal pluma.

"
Soneto,Fray Antonio Gual,15-17,"Contra Luzbel de tu valor medroso
pruebas apenas el acero santo,
honor del cielo, del infierno espanto,
en nuevo Marte, IGNACIO valeroso

En dulce cuando paz gozas dichoso,
divina luz bebiendo, sacrosanto
del sumo bien asomo, Febo en tanto
que forma siete círculos lustroso

Nuevo favor, ¿a quién no admira el verte
de la batalla a la señal primera
debida al vencedor gozar la gloria?

Si el embestir te premia de esta suerte,
dinos, o tú que pisas ya la esfera
¿el cielo que te dio por la victoria?

"
A Lope de Vega Carpio,Pedro Fernández Marañón,15-17,"Un número y dulzura milagrosa,
suave estilo, erudición con seso
tiene Lope de Vega con exceso
sobre cuantos escriben verso o prosa

Natural es el numen y copiosa
la vena, cual carácter sacro impreso:
es sabroso en lo lírico, y el peso
en su épico poema es grave cosa

Tiene elección, dispone y en él sólo
se ve en lo sumo la una y la otra parte
de ciencia y natural con tal grandeza

Que se puede dudar, por este Apolo,
si la Naturaleza vence al arte,
o vence el arte a la Naturaleza.

"
Al Marqués de Priego,Pedro Fernández Marañón,15-17,"Dadle, Señor, las alas y las plumas
delas águilas vuestras, al que ha sido
por águila y por cisne conocido
en Delo, en Delfos, en Anfiso, en Cumas,

en el Canopo, en las heladas brumas,
en el adusto Etíope tenido,
y en todo lo que el mar ancho extendido
empina montes, y sacude espumas

Dadle, Señor, las plumas y las alas,
para que vuele sin peligro al sitio
de Ícaro menos cuerdo que ligero

Envidiárale la Tritonia Palas,
conoceránle por Apolo Pythio,
y a vos por Alejandro de este Homero.

"
Juan de Castellanos,Cristóbal de León,15-17,"Si pudiera llegar mi flaco vuelo
adonde con el tuyo te abalanzas,
tuvieras, Castellanos, alabanzas
tan altas que subieran hasta el cielo.

Supla la falta de ellas este celo
que tuvo levantadas esperanzas
cuando pensé con tales confianzas
volar sobre los términos del suelo

Mas ya que más no puedo, me contento
con hacer de mi parte lo posible,
que es admirarme tu cabal historia,

de fábricas eterno monumento
en verso terso, dulce y apacible,
digno por cierto de inmortal historia.

"
Soneto,Fray Bernardo de Cárdenas,15-17,"Ensilla, Sancho amigo, a Rocinante,
dame la lanza y yelmo de Mambrino,
acomoda la alforja en el pollino
y el bálsamo precioso pon delante.

Pues Dios me hizo caballero andante,
hoy desfacer un tuerto determino,
que face una Doncella a un malandrino,
jayán desaforado y cruel gigante.

Dice que fue su esclava esta Doncella,
y miente, pues sé yo, que cuanto él dice,
ella gentil deshizo su cabeza.

A mi me toca, Sancho, el defendella:
yo soy su caballero, y voto hice
de defender su virginal Pureza

Subió con ligereza,
y tomando su yelmo, escudo y lanza,
le siguió su escudero Sancho Panza

"
Al célebre y aplaudido en el orbe doctor don Juan Pérez de Montalbán,Tomás de Villarín,15-17,"Yace en aquella losa sepultado
el Doctor Montalbán, o Peregrino
a tan de ilustre Ingenio, y tan divino
nombre, detén el paso apresurado

Bien tiene el corazón más obstinado
que este mármol que ves a ti vecino,
quien no siente su muerte, que previno
sin tiempo un accidente acelerado

Mas qué si en las naciones más remotas
vive su Fama, y su Alma eternizada
entre célebres Musas tiene gloria

Tú que las letras esculpidas notas,
en vez de incienso, y Casia regalada
consagra un mar de llanto a su memoria.

"
Soneto,Diego Ramírez Pagan,15-17,"Dardanio con el cuento de un cayado
el nombre y la figura deshacía
de aquella ninfa a quien él mismo había
en mil cortezas de árboles cortado

Y con el rostro triste y demudado,
con un ay que del alma le salía,
oh perversa Marfira, le decía,
en quien puse mi fe, seso y cuidado.

Si pudiese del alma tu retrato
quitar, cual de los árboles le quito
no harías mi vida ser tan corta

Mas ay cuán por demás triste me mato
que lo que está en el corazón escrito,
borrarlo con la corteza poco importa

"
Soneto,Miguel de la Vena,15-17,"Mueres Héroe Glorioso en pobre lecho,
patente al Cielo, que su noble llama,
al corazón amante tanto inflama,
que respirar no puede en menor trecho.

Y al mirar de la Parca el cruel despecho,
entre asombros suspenso el mundo clama,
como mueres Javier, cuando la fama
vive de los alientos de tu pecho

Si al fin del Orbe estás como imagina,
tu ardor, que no ha empezado su carrera,
como mueres a vista de la China.

¿Qué con ansias tu fe, y amor espera?
Pero tu luz halló precisa ruina,
al ver, y no gozar tu amante esfera.

"
Soneto,Francisco de Terrazas,15-17,"Dejad las hebras de oro ensortijado
que el ánima me tienen enlazada,
y volved a la nieve no pisada
lo blanco de esas rosas matizado

Dejad las perlas y el coral preciado
de que esa boca está tan adornada;
y al cielo, de quien sois tan envidiada,
volved los soles que le habéis robado

La gracia y discreción, que muestra ha sido
del gran saber del celestial maestro,
volvédselo a la angélica natura;

y todo aquesto así restituido,
veréis que lo que os queda es propio vuestro:
ser áspera, cruel, ingrata y dura.

"
"Soneto en el libro de Baltasar Gracián, Agudeza y arte de ingenio",Alonso de Salas Barbadillo,15-17,"Cumbre de santidad, monte sagrado,
que al Cielo nos enseña, y encamina,
tan señalado en santidad divina,
que el mismo Dios por vos fue señalado.

Índice de aquel libro celebrado,
de la verdad que a la virtud inclina,
y mano que corriste la cortina
al sumo Dios cubierto, y disfrazado

¿Para qué le mostráis, varón famoso,
a un pueblo, que después, tiranamente,
ha de ser de su sangre carnicero?

Encoged vuestro dedo milagroso,
y advertir que el mostradle a aquesta gente,
es mostrar a los lobos el Cordero.

"
A Joseph de Villaviciosa,Juan Valle de Velasco,15-17,"Muda, mueve, abre el cuerpo el pie, la pluma
pez, animal y pájaro, y no tanto
nada, camina y vuela, Joseph, cuanto
nada, camina y vuela tu honra suma

Tritón, ni pardo, ni águila presuma
nadar, correr, volar como tu Canto,
que pone en agua, en tierra, en aire espanto
al de escama, al de piel, y alas en suma

Al que nada, al que corre y vuela, pasa
de tus versos y nombre una gran fama,
que tiene brazos, pies y alas sin cuento

Ni peña, monte, o nube pone tasa
a su mover, mudar, abrir, que llama
río al mar, pozo el suelo, bajo el viento

"
Los quince misterios del Rosario,Andrés Rey de Artieda,15-17,"Cuando a María el Ángel la saluda,
y ella visita a Elisabet su prima,
cuando pare al que cielo y mundo anima,
y cuando ordena Dios que al templo acuda,

cuando Cristo en el huerto sangre suda
el azote y corona le lastima,
cuando el sagrado leño se echa encima,
y pasa muerte tan acerba y cruda

cuando con triunfo y gloria resucita,
sube la los cielos, y a su Iglesia santa
el Espíritu Santo la visita;

cuando llama a María sacrosanta
y la corona con aplauso, y grita
para siempre sin fin la Iglesia canta.

"
"Soneto a la venida del ilustrísimo y excelentísimo señor Duque de Feria, virrey y capitán general en esta ciudad y reino de Valencia",Carlos Boyl,15-17,"El sol de Feria envuelto en Ferias vino
delas grandezas de su insigne estado,
por quien trae el que menos obligado,
que contar de la feria de contino.

Según le va en la Feria, me imagino
que habla el deseo que obligó al Feriado,
y así en mi obligación en Feria he dado
loas al dueño desta Feria dino

La tienda de esta Feria es el venido
del mayor atributo que en el suelo
prestó a la fama para hallar materia

Por quien la voz del bien agradecido
en Ferias de su amor puso en el Cielo
la tienda alegre que le dio esta Feria

"
A los celos,Anastasio Pantaleón de Ribera,15-17,"¡Ah del Amor sagrada Monarquía
cuanto fuera tu yugo más sabroso
si de los celos al dolor forzoso
supiera resistirse el alma mía!

No la inmortal resiste valentía
de un alma, no rigor tan poderoso,
que afán le impone eterno sin reposo
de los celos la infame tiranía

Cual inmortalidad está segura
del furor de los celos, si se atreve,
a ser aun de las almas homicida

No tan grave la ofensa, no tan dura
al tósigo secreto el labio bebe,
pues muere sola a su rigor la vida

"
A la muerte del doctor Juan Pérez de Montalbán,Juan de Vidarte,15-17,"Vive feliz en Patria más dichosa,
porción preciosa de mi triste vida,
que no se puede no llamar perdida
vida mortal que se trocó a gloriosa

Si fue tu Muerte para mí llorosa
toda esta pena mi memoria olvida,
pues tú vives en mí, que en tu partida
tu vida fue con mi vivir forzosa

Si antes con dos vidas dulcemente
viviste, y ya con tres vivir te miro,
logrando el lauro de tu docta frente

La que adquirida con tu pluma admiro,
la gloriosa que gozas eminente,
y esta mortal con que por ti suspiro.

"
La virtud a la envidia,Juan de Jauregui,15-17,"Juez que enormes culpas no corriges,
y la Virtud condenas y aborreces;
tú, que en la ajena dicha te entristeces,
y el daño ajeno por alivio eliges;

Envidia, que traidoras armas riges,
y, a tu pesar, si el ánimo embraveces,
al envidiado honoras y engrandeces,
y al envidioso con ahínco afliges,

hacer podrás de tu veneno empleo
turbando el pecho que mis obras culpa;
que en mí no alberga de tu fuego indicio.

Y otra mayor venganza no deseo
del que me envidia que su propia culpa,
donde es castigo de sí mesmo el vicio

"
"A la muerte del doctor Juan Pérez de Montalbán, insigne ingenio de España",Francisco Benavides Manrique,15-17,"Vive oh grande Varona mayor fama
que te sepa querer la Musa mía,
vive, que a tu ceniza, aún no bien fría,
aliento induce repetida llama

Desprecio de la luz que el sol derrama
te presta ardientes mientras forma el día,
y como a Fénix Átropos te fía,
y a tu nuevo vivir Laquesis trama.

Oh tú siempre feliz, pues no es incierto
que te fomenta Apolo como al ave,
aquella que antes leve fue ceniza

Oh tú siempre feliz, pues aun no has muerto,
cuando empezando vida más suave
en tu muerte tu vida se eterniza.

"
"Al sol, amaneciendo",Juan de Jauregui,15-17,"Rubio planeta, cuya lumbre pura
del tiempo mide cada punto y hora,
si el bello objeto que mi pecho adora
sólo le gozo entre la noche oscura,

¿por qué ya se adelanta y se apresura
tu luz injusta y el Oriente dora,
las sombras alejando de la Aurora,
y, con la sombras, mi feliz ventura?

Dirás que, el dulce espacio defraudado
ya de la noche, me darás el día,
tal que de vida un punto no me debas

Si debes; causa del ausencia mía:
que es vida sólo el tiempo que me llevas;
y el que me ofreces, un mortal cuidado.

"
Soneto,Antonio Hurtado de Mendoza,15-17,"Amable soledad, muda alegría
que ni escarmiento ves, ni ofensas llora,
segunda habitación de las auroras,
de la verdad primera compañía

Tarde buscaba paz del alma mía
que la vana inquietud del mundo ignoras,
donde no la ambición hurta las horas
y entero nace para un hombre el día

¡Dichosa tú que nunca das venganza,
ni de palacio ves con propio daño
la ofendida verdad de la mudanza,

la sabrosa mentira del engaño,
la dulce enfermedad de la esperanza,
la pesada salud del desengaño!

"
Lamento de Ariadna,Luis Martín de la Plaza,15-17,"La vela de traición y viento llena,
con la vista cansada y el deseo
sigue Ariadna del traidor Teseo
desde la playa que a su llanto suena.

Sus hebras de oro, de piedad ajena,
injuria, y deja en su dorado empleo
al aire rico y al azul Nereo
con perlas que llorando da a la arena

«Vuelve, ingrato -le dice- y al engaño
con que el honor me quitas no le aumentes
la soledad de estos peñascos fríos

Mas, ¡triste yo!, que esfuerzo el propio daño,
pues que te dan con que de mí te ausentes
el viento en popa los suspiros míos

"
A la Concepción de Nuestra Señora,Fermín de la Puente y APechea,15-17,"Fue la luz ¡oh Señor! porque Tú hablaste,
y la tierra y el mar y el firmamento,
y a sólo Tú querer mundos sin cuento
brotarán, como el mundo que creaste

Sólo al formar al hombre trabajaste,
manos poniendo en ello y pensamiento;
que al alma hiciste soplo de tu aliento,
en lodo vil maravilloso engaste.

Mas ¡ah! si tanto fue porque tu idea
vio que en medio del tiempo aquí en el mundo,
tu Verbo, hijo del hombre, Hombre sería;

al crear a su Madre, al decir ¡¡sea!!
¡cuál formaste! ¡oh mi Dios! ¡yo me confundo!
la Concepción Divina de María.

"
Soneto,Luis Martín de la Plaza,15-17,"¡Oh más de mí que el céfiro estimado,
húmedo Noto! Tú, que al sol y al cielo
con negros toldos y con pardo velo
cubres el rostro azul, el crin dorado;

Así nunca jamás el cierzo airado,
barriendo nubes y arrojando hielo,
te quite el manto, te ahuyente el vuelo,
de espesas lluvias y del mar hinchado.

Que en la sondas levantes alboroto,
y aquella nave en quien mi bien navega
la traiga al puerto tu animoso aliento

Oye mi justo ruego, fresco Noto:
Mas ¡ay! ¿qué fruto aguarda quien le entrega
sus lágrimas al mar, su ruego al viento?

"
Soneto,Bartolomé Sánchez,15-17,"Habéis echado el sello a nuestra ciencia
con tal sublime obra, buen Silvano,
diciendo del ilustre Altamirano
el valor, cristiandad y la paciencia

Infalible verdad fue la pendencia
que Ramos tuvo con el luterano;
vengó al Pastor la poderosa mano,
dándonos a entender su omnipotencia

Que al humilde levanta y le da loa,
y al soberbio arrogante echa por tierra;
estilo del Señor muy ordinario.

Recibe de mi mano, buen Balboa,
este soneto criollo de la tierra,
en señal de que soy su tributario.

"
Soneto,Matías Juan Beana,15-17,"Que sentimiento cielo tan extraño,
descubro en este Bulto peregrino,
de aquel que el río Tabor en luz divino,
en Navarra se de sangriento un baño.

Si cada fuente vierte por su caño,
licor precioso que del cielo vino,
segunda vez redime su amor fino,
al mundo todo, que rindió el engaño.

Mas ay, que afán le hiere, aunque distante,
que del Indio Javier por Dios padece,
correspondido con dolor profundo.

Y siendo de Javier el más amante,
si por el Orbe su coral ofrece,
le vierte por Javier, que pesa un mundo.

"
"Enójase el autor con una dama, que el enamorarla fue causa de que hiciera versos",Alberto Díez,15-17,"Por mujer que no pide apasionado,
a tus partes estuve muy rendido,
y viendo celebrabas lo entendido,
procuré de escribirse con cuidado.

Hálleme a tu discurso enamorado,
y para las disculpas de atrevido,
mi amor de codicioso, te ha metido
a Poeta; por ser más Licenciado

Pidiérasme dinero, hermosa Anarda,
y no hacerme caer en tan perversos
delitos, que no hay forma que me cobre

No he de verte en mi vida, guarda, guarda,
que pues eres la causa que haga versos,
sin pedirme ni darte me haces pobre.

"
A la Carolea,Jerónimo Sempere,15-17,"Del Délfico laurel , que fue corona
de augusta majestad de Emperadores,
fue premio de Poetas moradores
de aquel virgíneo y fértil Helicona

De entrambos sacra ha sido la persona,
y el uno al otro da eternos favores,
que un César es sujeto de escritores
y un escritor los Césares pregona.

Aquí un Poeta célebre y perfecto
de tal modo hace eterna la memoria
de un César Carlo Rey de las Españas

Que Carlo a mil poetas dio subjeto,
y a mil Emperadores diera gloria
quien canta aquí sus ínclitas hazañas.

"
- XI -,Juan de Arguijo,15-17,"Presenta ufano a César victorioso
el tirano de Menfis inclemente
la temida cabeza, que al Oriente
tuvo al son de las armas temeroso

No pudo dar el corazón piadoso
enjutos ojos, ni serena frente
al don funesto; mas gimió impaciente
de tal crueldad, y repitió lloroso:

«Tú, gran Pompeyo, en la fatal caída
serás ejemplo de la humana gloria;
y cierto aviso de su fin incierto.

¡Cuánto se debe a tu virtud crecida!
¡Cuán costoso en tu muerte es mi victoria!
Vivo te aborrecí, te lloro muerto»

"
Soneto,Francisco Bueno,15-17,"Cuando en Cruz interior Javier penaba,
Cristo ansioso también sangre vertía,
tan cerca de divino parecía,
que las venas la Cruz equivocaba.

Tanto su corazón crucificaba,
que del dolor el mérito quería
explicarse cruento, y no podía,
porque en su sangre el mérito no hallaba

Y este fue el padecer más exquisito,
pues de unas ansias, de tormento llenas,
limitó el merecer, un ser finito.

Y a su Cruz no bastando humanas venas,
por que el mérito llegue a lo infinito,
puso la sangre Dios, Javier las penas.

"
Soneto,Juan de Arguijo,15-17,"De ciega oscuridad y horror cubierta
está la tierra, en tanto que el hermano
de la silvestre diosa sale ufano
del rojo Oriente por la ebúrnea puerta

Ante sus ojos ve la muerte cierta
el piloto en el piélago inhumano
mas dando el viento a sus deseos la mano
en vida trueca la esperanza muerta

Tras la importuna guerra se consigue
para dichosos años paz segura
Tú, pues en medio de tus males fía;

que al fin es cosa cierta que se sigue
tras la tormenta, guerra, noche oscura,
buen tiempo, dulce paz, alegre día.

"
Soneto,Francisco del Campo,15-17,"Siente a pesar del mármol el aliento,
que otra vez por Javier amante espira,
y el alma que en la estatua el arte inspira,
segunda vez le roba el sentimiento.

¡O cuánto de Javier pesa el tormento,
pues el mármol con él sudarse mira!
¿Qué no herirá la pena, que respira,
si a un Dios en un Castillo no está exento?

Padece Cristo al ver, que Javier pena,
y muerto viva sangre de sí vierte,
ya de su faz la luz siempre serena.

En fatales eclipses se convierte,
pero, o cuánto de cerca hará la pena,
que a un inmortal de lejos da la muerte.

"
- LIV -,Juan de Arguijo,15-17,"Labra Artemisa el grande mausoleo,
que los altos pirámides afrenta
del egipcio soberbio, y no contenta
busca a su ilustre fe mayor trofeo

Del tierno y casto pecho en nuevo empleo
hacer sepulcro al muerto esposo intenta,
cuyas cenizas, de su amor sedienta,
bebe con ansias de inmortal deseo

«Mal podrá, dice, la enemiga muerte
de ti, dulce Mauseolo, dividirme,
ni en largo olvido sepultar tu gloria

Que de su injuria basta a defenderme
mi pecho, más que el bronce y mármol firme,
y eternizar mi amor y su memoria »

"
Soneto,Joseph Miralles,15-17,"Basta a las glorias, basta a los favores,
más a las penas, más a los tormentos,
basta a las alegrías, y contentos,
más a las aflicciones y rigores.

Basta a los dulces del amor primores,
más a los del rigor abatimiento,
basta a los del favor conocimientos,
más a los del afán, y los dolores.

Ser en no querer premios, importuno,
desconocerse a sí, por conocerse,
de los consuelos no querer ninguno.

De otro, y no de sí compadecerse,
en el mundo estas cosas tuvo alguno,
hasta que en él, Francisco llegó a verse.

"
- XXXVIII -,Juan de Arguijo,15-17,"Con presto curso y con veloz denuedo
sigue Apolo la hija de Peneo;
hurtó el uno las alas al deseo,
y al otro le prestó sus pies el miedo.

«¿Por qué te alejas si alcanzar te puedo?,
le dijo, de mi amor oh digno empleo?
¿Piensas, cual Aretusa de su Alfeo,
huir de mí, que al vago viento excedo?

Alentó la carrera; y ya vencida
cuidó tener de Dafne la dureza;
tanto se le acercó el amante ciego.

Mas del piadoso padre socorrida,
trocando en árbol su mortal belleza,
burló sus brazos y avivó su fuego.

"
Soneto,Francisco Caus,15-17,"Impura tempestad, dura tormenta,
fantástico vapor del sueño mueve,
contra el candor, que inmunidades bebe,
del ampo en que el ángel se alimenta.

Dormido le asaltó llama violenta,
que acara descubierta no se atreve,
pero como dio en manos de la nieve,
se hiela el fuego, y la pureza alienta.

Lo que de impuro concibió el sentido
por matices, y boca se vio luego
en espumas de sangre divertido

Con ella quedó frío el ardor ciego,
porque en batallas torpes aun dormido
lo lleva Javier todo, sangre, fuego.

"
A don Diego de Mendoza y a su fama,Ortigal de Cervantes,15-17,"En la memoria vive de las gentes,
varón famoso, siglos infinitos,
premio que le merecen tus escritos,
por graves, puros, castos y excelentes .

Las ansias en honesta llama, ardientes,
los Etnas, los Setigios, los Cozitos,
que en ellos suavemente van descritos,
mira si es bien o fama, que los cuentes

Y aunque los lleves en ligero vuelo
por cuanto ciñe el mar y el Sol rodea,
y en láminas de bronce los esculpas

Que así el suelo sabrá, que sabe el cielo,
que el renombre inmortal, que se desea,
tal vez le alcancen amorosas culpas

"
- LVI -,Juan de Arguijo,15-17,"El gran señor del Asia, y venerado
padre de tantos reyes, ¡suerte fiera!,
falta sepulcro, y yace en la ribera
sin cabeza y sin nombre el cuerpo helado

Y cuando se ve en Troya derramado
más fuego que contiene la alta esfera,
falta al desnudo tronco la postrera
llama, y sólo le baña el ponto airado

En ti admiramos de la humana suerte
la inconstancia, ¡oh ejemplo sin segundo!,
en ti las vueltas de la incierta vida

¿Cuál voz habrá que dignamente acierte
a lamentar su fin? ¿Cuándo vio el mundo
ni grandeza mayor, ni igual caída?

"
- XL -,Juan de Arguijo,15-17,"El triste fin, la suerte infortunada,
-ajeno premio de la fe constante-
del uno y otro miserable amante,
a quien perdió una noche y una espada.

Encierra en sobre oscura está labrada
piedra, tú, peregrino caminante,
repara el grave caso, y con semblante
pío suspende el curso a tu jornada

Que darás tiernas lágrimas no dudo
a las cenizas, donde aun dura ardiente
el fuego que causó desdicha tanta

Debida compasión al mal que pudo
trocar color en la cercana fuente,
y el de su fruto en la silvestre planta

"
A la muerte de Lope de Vega,María de Zayas y Sotomayor,15-17,"Si mi llanto a mi pluma no estorbara,
o fénix de la patria, o nuevo Apolo,
de mi lira te hiciera un mauseolo,
que tu inmortalidad aposentara.

Mejor que yo ninguno te alabara,
que como tú del uno al otro polo
el único naciste, el sol y él solo,
sólo mi amor por solo te igualara

¿Mas cómo cantaré, cuando te lloro
sin esperanza de ningún consuelo,
o ya ternura sea, o sea decoro.

Pues pierden hoy, porque te ganó el cielo,
Mantua su prenda, España su tesoro,
su Dios las Musas y su Vega el suelo?

"
- XXIV -,Juan de Arguijo,15-17,"Del vencedor huyendo, a Lesbos deja
Pompeyo, roto en la farsalia guerra;
con su esposa se embarca, y a la tierra
que inunda el Nilo, por su mal se aleja

Que el hado riguroso que le aqueja,
y al extranjero reino le destierra,
en la seguridad que busca encierra
el fin que dio a Cornelia eterna queja

Fiera tormenta en el buscado puerto
el gran Pompeyo halla en vez de abrigo
¿Quién las mudanzas de la suerte ignora?

¿Quién no recelará el suceso incierto,
si da la muerte el obligado amigo,
si el enemigo vencedor le llora?

"
Soneto del Triunfo parténico,Carlos Sigüenza y Góngora,15-17,"Si celeste, si cándida, si pura
es etérea azucena al Sol luciente,
cuando indultando a Delos por su Oriente
privilegia de intacta su hermosura,

¿cómo pudo el borrón de sombra impura
profanar su excepción? ¿Cómo indecente
villana espina horrorizar ardiente
la luz nevada que aun en Delos dura?

Si en la sombra no hay sombra, si en la idea
la mancha falta, no queriendo el Día
que menos que de luz su cuna sea,

¿cómo el Original? ¿Cómo podía
hallarse impuro con la culpa fea,
siendo de luz la sombra de María?

"
- IX -,Juan de Arguijo,15-17,"En duro escollo expuesta al mar insano
la no culpada hija de Cefeo,
mueve a piedad el reino de Nereo,
remedio a su dolor pidiendo en vano.

Cuando, rompiendo el aire con liviano
vuelo, se muestra el vencedor Perseo
que con el gran despojo meduseo
orna glorioso la triunfante mano

De la doncella el llanto y la hermosura
enviaron a un tiempo al pecho fuerte
de lástima y amor agudas flechas:

del mar la libra y de la bestia dura
trocando en vida la temida muerte
Y en nupciales cantares las endechas.

"
