title,author,century,text,etiqueta
- XLIII -,Juan de Arguijo,15-17,sipudoanfiondulcecantojuntarpiedrastebanomurosisuaveliraososegurobajartracioreinoespantosivozregaladapudotantoabriopuertasdiamanteduroratosuspendioaqueloscurolugarpenamiserablellantosicantoadmirablefuerzaenternecefierosanimalessienfrenacorrienteriosnuevapenamidoloresfuerzapuesdescrecenotrosmalesvanacrecentandomios,Amoroso
A su amada,Miguel de Barrios,15-17,coroamorvozsirenacorazonesatraesvidasencantasnisedivinadulzurastantasreducesgloriapenasuspendidanocantafilomenasuavidadoyendocantasmetricasvoceslevantascefiroarbolesnosuenaarroyoentrefloresdetenidodulcequiebrotudulceliraquedafloridotalamodormidopuessicomotuluztucantoadmiraquienfaltarazonvidasentidoharaalmaquientisuspira,Amoroso
- L -,Juan de Arguijo,15-17,pudodiestraliradulcecantobajarorfeoregionoscuradldoloreternamentedurafuerzasuspendertristellantodivinoconcentopudotantofuerzafeconstantepurarecobrarprendamalsegurahalloentradareinosespantoventurosoamadorsinorompierapreceptofatalconservarabientanlargoafanconquistaordenaaydolorsuertefieracuandodulcevozganaravuelvaperderatrevidavista,Religioso Mistico
Competencia entre la rosa y el sol,Isabel de Castro y Andrade,15-17,purpuraostentadisimulanieveentremalezasperegrinarosamilafectossuspendiofrondosamildonairesofendiobrevemadreoloresquienambasdebelisonjasnoprendadiosaporquearomasdeliciosasutilalientosbebeprevenirsoltomolicenciasintioloaltoriscosolfloreshallaleincitamirolafinardientebasiliscoofendidotantacompetenciafulminandovenenomarchita,Religioso Mistico
A Rómulo que mató a su hermano Remo,Juan de Arguijo,15-17,armastomoapriesaesforzadoquirinohermanomalseguronuevaciudadprimermurosangrefraternamanchadoprimerodivididofundadosintiopueblodanohierroduropresagiociertorigorfuturoamenazabadisponerhadonoconsintioojosverpresentealgunigualanimoambiciosonisufriocompanerocoronanaturalamorvencioimpacienteamorreinarpoderosopuesmismohermanonoperdona,Heroico
- VII -,Juan de Arguijo,15-17,detenpococobardeespadacruelpompilioingratoconsiderajustaempresatubrazoesperalargossigloshaserlloradaposiblevetumanoarmadacontragrantulioquienlibrardebieraigualrecompensafieramuertetuingratitudencomendadaohcuanpocoaprovechamemoriarecibidobienobstinadoningunacosaerrorlemudadesciendogolpealtaglorialatinalenguaderribadodejavalorelocuenciamuda,Melancolico
Soneto,Diego de Colmenares,15-17,segurobienauntemorsiquieranoaseguraenfadoconstantefaltarcontrariorepugnantenitristemalnibienalegrefuerasiausentesolmontanafierablancastoscasarrastraignoranteherirperpetuorayorutilantefueracenizacuantafloresperavistencambronagudoblancarosaplantaamordedicasueloporquedulcefrutaamargacriabienmalmezclanteladeleitosaesperanzamalcausaconsuelotemorbienhipocresia,Melancolico
A don Agustín de Salazar y Torres,Melchor Fernández de León,15-17,lloradhijasapolonegrodiaduenovaportaninhumanoarrullosesplendortempranomonumentocuajonieblafrialloradvuestraacordemelodiajovencisnetiempocanosubidprivilegiosoberanoseralladecimaarmoniadigosolioseraaquelgranvuelocadaescritonoticiaadvierteledacadalineanuevagloriapuesacayanosquedaconsueloeternidadlerobomuertehoyrestituyememoria,Melancolico
Soneto,Luis Martín de la Plaza,15-17,segundohonorcielocristalinopuesvessolsombraahuyentanochecargadatormentaanadeconfusionmicaminomuestrapoderresplandordivinoaquestosmontestuplataargentavengatuhermanonocheafrentavalgametulumbreperegrinoasimartemiressiemprellenapastorquiendasabrazostiernosnotedesprecietenertrescarasblancotoroofreceretusarasesparzapiesblandaarenahieraaireagudoscuernos,Amoroso
Soneto,Pedro Castro y Anaya,15-17,copiastemarmolmayorbellezaohlaurotantolisisparecidadosyavidadosdurezasolalisisformonaturalezatunosdistelisisrepetidalisiestatuaellaconvertidacualdosdebetudestrezanoimpulsonoesculturamarmolvivientesucesivolisisquedasemorirajenaarbitrioamorhermosaduraformootralisisporquemarmolvivovivainmortalcausamipena,Melancolico
Eróticas – - IV -,Esteban Manuel de Villegas,15-17,solodespicarmetujuegohonrodianasacrificoceresnoamornopesadoeresciegoteameyamiroestasciegodanotuyomibienalegoanoilusionpocosplaceresnosufriraquiendamujeresdormidarazondespiertoruegogocemeestaheredadlibremesotoespesuracadamesciervoturapazgobiernatuvenerasimundoholgaramivotoyoledijeramireservofindijeradesdenmuriera,Amoroso
Soneto,Luis Martín de la Plaza,15-17,veosenorasonmiinstrumentocuandoentonamivoztunombresantopararriosescucharmicantocorrermontescallarvientoluegosisuplicomitormentohuirriostemorespantosermontessordosmillantovientomurmurartristeacentoporquehacerarenasorotraesmontesveranoeternodasolorvientotetocayodeshagollorandotesorotraigomontesheladoinviernodoyvientofuegomiboca,Religioso Mistico
Soneto,Domingo Fuentes y Pardo,15-17,solentrecelajesorientesubedorarcumbreleesperamediodiaturquesadaesferapeinandorayosesplendorlucientemarpensionpagaeminenteapenaslaurelcarreradebidocinecuandoligeracaidaleamenazaoccidenteasimarianafelipeauroraapenasllegabacoronarsecuandofatalpeligrodanoaprestasolalbavanolloramundopuesmiraeternizarsedarluzaquellucerosesta,Religioso Mistico
Al príncipe nuestro señor Felipe IV,Duque de Osuna y Conde de Ureña,15-17,corridaofrecerosplataoroporquevuestrovalordebiaaquestenuevodonhoyosenviaindiafericotesorocuernoaquelsoberbiotorotantofurorperseguiatierrasepultadaosadiallenofloressacrocoropresentarlevuestraaltezaentrefertilesvegashaescogidofrutaflorabundantehumildedontalgrandezasiendovossenorfavorecidohastahombrosllegaraatlante,Religioso Mistico
"Al capitán Domingo Alonso de la Maza, caballero del hábito de Santiago",Anastasio Pantaleón de Ribera,15-17,estasantiagoespadaardientemerecidoblasontimbregloriosoennoblecetupechobelicososolicitalaurostufrentesonorastrompastufamaaumentepuesdenuedoanimobriosoteostentasmartebarbaroalevosotevibrasrayoenemigagentedondegloriatantaocasionapuesprimeracatedrapresidesfatalescuelabelonacomoarbitroabsolutolidesdondetuvalorteabonamazafuerteinvictoalcides,Heroico
"A la majestad del rey Felipe, nuestro señor",Juan de Castellanos,15-17,catolicosenorreysoberanodocelestialvirtudmanifiestacuyapotestadhoytienepuestadiostutelahonorcristianoestalaborllevasologranoverdadpuraexamenprestaprosecucionrestavuestramajestadpidemanoporquesimereciesetaldefensagranmemorialredimiendovoytiraniaolvidoserainsignerecompensamepuedadarpretendopagatrabajorecibido,Religioso Mistico
Pidiendo celos de un marido muerto,Anastasio Pantaleón de Ribera,15-17,tisbesiadorastumuertoesposopolvoamantemiamoresperapuescuandotusdesdenesperseveranomorirestamiamorcelosoesperanzaespiritugloriosodimeteofrecesimuertefieracediotempranatuaficionprimeragraveultimoreposoolvidatisbelograyamividafeinhabiltantamuerteestadisculpadoestaolvidopueseressenorahomicidadebateyomejormismasuertemuertoagradecido,Religioso Mistico
A don Alonso de Ercilla,Leonor de Iciz,15-17,milbroncesestatuasyaforjadosmillaurostusobraspremiohonrosoteofreceespanaercillagenerosotuplumatulanzatanganadoshonresetuvalorentresoldadosenvidietunoblezavalerosobusquetipoetafamosolimaversoslimadosderramemundotuslooresfamaeternicetumemoriaporquejamastiempoconsumagocenyatemorhaymayorestushechostuslibrosigualgloriapueshanganadoigualespadapluma,Heroico
"Un amante, abrasando las prendas de su dama",Juan de Jauregui,15-17,pasoprimaveraveranomiesperanzaagraviomioesterilsazonsecoestioentregaestosdespojosvulcanobiensagazamorintentavanooponerincendiohielofriodondeturbadopechopierdebrioentorpececobardemanorazonmiderechoamparaquierofomentefuegomerecidoreliquiasmueranmemoriasmiasdesenganocomofenixraraestuvomillamaconsumidovivorenazcaentrecenizasfrias,Melancolico
A la muerte de Lope de Vega,Pedro de la Escalera Guevara,15-17,cisnesagradocuyadoctaplumaerudicionadmiracionesdebecorosacroninfasnuevegloriainmortalfamasumatuposteridadpresumadecirmiamorelogiosnoatreveaunacentonumerosobrevelocapresunciontemeespumasigrandegloriavidaconseguistedulzuranuevacantasteparcalopemejorotusuerteporquecantasensenastumuertesitunombreorbeeternizastenaceinsignevaronmoriste,Religioso Mistico
Soneto,Juan de Jauregui,15-17,siamadopechoconstantetemeolvidoamadorausenteporqueausenciatiemponoconsientememoriavoluntadperseveranteyopresenciamiserableamantenofuicorrespondidopresentemiausenciafilisnorecelasienteolvidoesperorigorbastanteestaimaginacionalmaasidamilmuertespuededarmeyoellaserpuedomistormentoshomicidacomoagradancausabellatantomismalesmereservavidamayormalseraperdella,Melancolico
A don Diego de Mendoza,Mariana de Vargas y Valderrama,15-17,troncoilustredondehasalidovuelvesbellofrutoramadandoleeternonombrenuevafamatroncoramafrutomerecidodignolauromundohasadquiridojustamenteamortellamacuidadosaamalteaderramaflorestiempoharecogidoquiengranalejandroretratarasinofamosoapelesnilehubieraotroprimorleaventajaraquienemprendesintentarpudieraniinsignedondiegonoscantaraunicocisnesicualtunofuera,Amoroso
A Lope de Vega Carpio,Alonso de Salas Barbadillo,15-17,patriasolaltocielodondesolosiguecaminoasipropiapatriaperegrinocursandodivinoparaleloallicercadoambitosuelorompequebrantahielocristalinomostrandohombrepoderdivinoprestezahermosovuelovosbelardomadridpatriadichosavuestroingeniocelebreseguistecaminodesiertorarosoloasiestahazanamilagrosavuestrapatriaperegrinofuistecomocielosoberanoapolo,Amoroso
Soneto,Cristóbal de Mesa,15-17,granrazonemperatrizcieloexcedessupremasjerarquiastedaneliseoeliastodohonorlibanocarmelotudistemundomayorconsuelotupartocumplioprofeciasdandobiendandodiosdandomesiasmortalesmiserossuelotucualnacioluzmundolagrimasesteoscurovallenosmiraaquesaempireacortebuenpuertoaquestemarprofundosaldremossitumanogobernallepilototuamortuvistanorte,Religioso Mistico
Dándome por asunto cortarse un dedo llegando a cortar un jazmín,Sor María de Santa Isabel,15-17,filisamorhechizosoberanocortarquisojazmindesvanecidocincomirandoseexcedidoquedovencimientoufanonobiencortajazmincuandotiranoacerorojohumorotrohatenidomintiendoramilleteentretejidojazminclavelhermosamanoatroposbellatijeracedepiadosaejecucionsiinadvertidamanodolorocasionandosialmasangredarnopuedevezmuertediojazminvidaamordulceimperiodilatando,Melancolico
De El gran Semiramis,Andrés Rey de Artieda,15-17,yatiempovueloacostumbradohatraidotalpuntomisdeseoslibreficcionesnirodeosmuestremicorazonfuerteosadocapitanreytansenaladotangrandestriunfostrofeospersalibiosmedosnabateosotrosmiltemploshaadornadonohasidoniniascomohabeiscreidoohmilvasallosfuerteslealessinomadrepuestavestidoyohesidocapitanrealesmiqueridohijoquienhasidovirgenentrevirgenesvestales5,Religioso Mistico
A la inmortalidad de Lope de Vega,Jusepe Antonio González de Salas,15-17,vivehombremortaldebilllamaardecaducofragilalimentofacilsoplolevealientoyapavesaesplendorinfamavivemarmoldespuesinmortalramacoronadofrentenoexentoruinaaunduracontracursolentoedadnibultonifamasoloaquelmemoriavivesiempretiempotrascendidagloriaeternidadlagrimaescribenopueslopemuriosiaquellahistoriamismovidaleapercibeexentaolvidomemoria,Melancolico
De Victoria por el amor,Jacinto Cordero,15-17,descuidadaamorburlashaciaviyaturedcautivociegonecioimaginabatufuegocualsimplemariposallamaardianoimaginabayoporfiahabiatalcrueldadyallegomarturigormeanegorendidaconfiesaalmamianoburlasamorlocodeseocuandomalpadezcoalmaescuchosidesenganotusfuerzastocodichoamornohahechoempleodesdichadoaquelquisomuchosicuerdoamorlehavueltoloco,Satira
Soneto,Francisco de Olaegui,15-17,silevantamayorvuelojavierespirituelevadoaltaregionarrebatadoperegrinonocielovuelaalassantocelopuroserdiosenamoradoamanteserafinangelaladoaccionperpetuainmortaldesvelosinobleatributosabioencierrapacificadorpropiedadespazunencielotierrairiscelestialclaridadestempestadesidolatrasdestierracausafeseguridades,Religioso Mistico
Soneto,Joseph Lupercio Panzano,15-17,estacorrespondenciahoyalcanzajaviertudolortanfervientesangrecristofelizmenteteesmaltagloriatuesperanzadossemblantessolamudanzapasarunootrosienteestanoserimagensolamentealgohasersemejanzatempladascuerdasinstrumentohansidoacordedolormemoriacristojavierasuntosfamafelizsantopuespruebasconocidotupatriasolarejecutoriasangrecristotederrama,Religioso Mistico
Las musas en venta,Francisco de Figueroa,15-17,hayquienquieracomprarnuevedoncellasesclavasdesterradastierrasdofueronengendradashayquiencomprequiendaellasfuerontiempotodoextremobellasairosasricasgravesestimadasmuchofueronrecuestadasbienpocosalcanzaronfavorellasahoravantristesmendigandopuertapertarotasbaldiasaunsolocomervenderianpuesnosongolosashallandohierbasfloresuhojaspasariansombrasfrescasaguasfria,Melancolico
A la excelentísima historia del señor Juan de Castellanos,Gaspar de Villarroel y Coruña,15-17,dichosovidamuertequiendestinatanbienlargocielolevantaalmavulgovilespantamonteyertovirtudcaminapuestierraantarticovecinaapenastornadosicuantagentecubrecuerposcuandocantahechosvuestratrompaperegrinaverdadafeitedulzuranovistailustresversoscristianosengrandeceisestrechasepulturaeternizaisvalorconsejomanoshambresedguerradurahechosvuestrosvieronsoberanos,Religioso Mistico
El amor a Jesús,Teresa de Cepeda y Ahumada,15-17,nomemuevemidiosquerertecielometienesprometidonimemueveinfiernotantemidodejaresoofendertetumemuevessenormuevemeverteclavadoesacruzescarnecidomuevemevertucuerpotanheridomuevenmetusafrentastumuertemuevenmefintuamortalmaneranohubieracieloyoteamaranohubierainfiernotetemieranometienesdarporquetequierapuesesperonoesperaramismotequierotequisiera,Religioso Mistico
Soneto,Francisco Guardia y Belvis,15-17,cuandojaviersagradosolprocuradesterrartinieblasorientedivinaluzrayoardientevanaexhalacionexhalaimpurasaleinfielregiongentiloscuralleganubecruelrabiosamentedesechasanarepentejavierlluevepiedradurahuyetempestadlenoasidoimponderablepesoriocorrecomosagradoansiososuberompeolascristalvencidoporquelenojesussiempresocorretriunfasoljavierrionube,Amoroso
Soneto,Alonso Cabello,15-17,memoriavivacausamuertaengendramidolortristezallantodejameratodescansartantomierradosentidoconciertaaquestapenafaldayertaalgunapartepagarecuantohadefraudadosuenosituespantocomoacostumbraaquinomedespiertapuescuallocoestoypodrasdejarmetomaraliviodescansarpocosinoquieresmueramitristezaacabamemoriamatarmemayorargumentofirmezamorirdolorvivirloco,Amoroso
De El padre de su enemigo,Juan de Villegas,15-17,principeilustremipiedadadviertepueslepongofintudeseositequitoamormonstruofieroimportasifeduardodartemuertedolornosibientanfuerteexcusasmuchasmipechoveotumueresvivircreoyovivomoririnfelizsuertecualdosventurosohasidopuespuertateabrioheridapudosaliramorentroolvidodichapretendequienolvidadejarmepadecerapercibidoyoquedoamortuvida,Religioso Mistico
A San Isidro,Doctor Campezo,15-17,camposmadridisidrosantosonheredaddiostierracielopuescuandocontemplaiseransueloespiritusdivinosentretantolabradorcielomantooshacesombramayorconsuelonooscauselaboralgundesvelopuesgloriacogereissembrandollantosurcaddiosoracionpechobelloscristalesojosrindanaprisamadridtributocontentareisdiossatisfechotriunfareisgloriadespojossembrandoaquilagrimasfruto,Religioso Mistico
A doña Juana,Gregorio Silvestre,15-17,alabastroblancobienlabradodetrasvelonegrotransparentenieveaunpisarnoconsienteentrepolvogramahamezcladosolcuandoaparececolladoquitandoluztodaotragentedelantevuestrosersiestaispresentetodoclarovalorserahumilladohumillarsevosgraciapuraaquestodemasacacriadonopierdebeldadnaturaanteshumillarseraensalzadocrezcarojoblancohermosurasolluznuncahadado,Amoroso
Soneto,Francisco de Quintana,15-17,lejossisentimientoausentecercadiosmismodiosunidoausenteporqueajenosentidounidotenerdiospresenteabsortogloriasinsensiblesientefaltodiscursosiamorvencidodudandopropiobienharecibidoconfusoignacioignoraasientecontemplaadvierteestimaatiendeadorasumadeidadpoderbondadaltezapocopercibemuchosuspendeveseignorantesabiomejoraporqueserdiosgrandezasoloignoralecomprende,Religioso Mistico
Soneto,Damián de Vegas,15-17,siestasolvestidaadornadaporqueeternosolvimosellasiplantaslunahuellavivosalborescircundadasitambienestrellascoronadasanjuanmiroestacandidadoncellacualseracuerpocualalmaellacosamortalesnoalcanzadasiangelespurossiemprehansidoreinaadoranprofundoacatamientoquiengrandezanuncamanchadadudaraatrevidocuandopolopoloclamamundonohaybajodiosigualpureza,Religioso Mistico
Epitafio a la muerte de Tirsi,Francisco de Figueroa,15-17,crezcalicorllantomioverdehierbaestefertilpradoenfrenetristesonmicuidadopresurosocursoesterioresuenebosquecavernosofrioyamuertetirsitirsiyaacabadodolorterriblesepultadotuvoenterosenoriosolaestasolitariaselvaumbrosasolaestagentilverderiberalamentablefinfuerontestigosaquicerroojosmuertefieramiserablecuerpoaquireposallorandolodamonfirmeamigo,Melancolico
De Los hermanos amantes y piedad por fuerza – Jornada primera - Margarita,Fernando de Zarate,15-17,carohacostarmeconocertemolestoamorcaroserconstantedespreciarreyinfanteneciaresolucionobedecertecelosengendrastucelosmuertecontiendacelossemejantemorirseraaccionarroganteporquesiemprevenceestasuertesipuedematarcualquiercelosoenganostracasdesvelospoderosolealcanzamiventuramatepoderpoderosonovezprimeraceloshicierondesdichadahermosura,Melancolico
Soneto,Juan López de Úbeda,15-17,dulcisimojesusmiamorfestinafestinavertepenomueromuerotiansimiamorquieroquieroloporqueamorestomeinclinainclinamedecirmiamorcaminacaminalegamoligeroligerotardarteporqueesperoesperoesperandoamorafinaenfermoestoyamorsedientosedientocomosiervofatigadofatigadoamortengomipechomipechosoloverteestacontentocontentonohaytijesusamadoamadoamorfuerteestrecho,Religioso Mistico
Zameis,Andrés Rey de Artieda,15-17,pasmadoquedapuebloenganotandulcementelehastraidominombremirostromivestidomilguerrasanootroanoalegrepresentedesenganocadacualdosreconocidogeneralaplausoalaridotealabanuestropuebloextranoyoasimismolootugrandezaencarezcotuespirituelevadoadmirotuprudenciafortalezasertuhijosertiestimadotengomayorsuerteriquezasialtoamonfueraengendrado,Heroico
Soneto,Sor María de Santa Isabel,15-17,cuandobordaperlasauroratapicesmatizanbellasfloreslisonjasretornanfavoresenriqueceenamoraluegosiguesolrayosdoravariedadvistosacoloresquienavesrepitiendoamoreshacensalvamusicasonoraasiyocuandoviaurorahermosasoldesterronieblaoscuraausenciasiyanosolniaveracionalbellezamilagrosaveneroverdadsencillapurapremiodesdenseverograve,Amoroso
Roma en ruinas,Cristóbal de Mesa,15-17,teatrocapitoliocoliseocolumnasarcosmarmolesmedallasvalijascapitelesquincallasdovencieronobrasdeseotemplocarrostriunfalesgrantrofeoreinovictoriasbatallascolososepitafiosantiguallassepulcrosdesiertosveopiramidespinturastermasbanosreliquiasruinaspompaedificioantiguaromasipuedetantocursoanospodrasertambientiemporompamimalpuestodacosaacabadoma,Religioso Mistico
Al matar el toro Felipe IV,Francisco Vivanco,15-17,brutofeliztodalidguerrerotupropiadefensacoronadonomeadmiravenzasosadoverobedezcassicuandofieropalestracesarveneroteadmiteempresatuaccionpagadoartedebesfavorlogradoindignofuistevalorseverorojoalientofurorvestidoliquidocoraltuardordesatatantoesfuerzogustoagradecidodocilplomoohfierateretrataporqueexentovivasvencidovidatesolicitasitemata,Religioso Mistico
"Un ausente, navegando",Juan de Jauregui,15-17,jamaslargaausenciaamadaflorasentirpodramifemudanzaalgunabienmeengolfellevefortunaremotamarhircanamorasicadaespumalevantaagorabrillandoaguarayolunanaciesenvenuscientocadafuesenuevoamorengendradoraestosaquellasigualdenuedocuidasenaumentarfuegomioniaumentaranimifecrecieraacrecentalladesconfiovivoeternoafanporquenopuedoquererostantocomoyoquisiera,Religioso Mistico
Soneto,Juan de Jauregui,15-17,ondasacosadoantoniofuerteaugustocleopatramiradominioincautoaspiraotradiademaimperioausonioentregaseamantegolfojonioencendidovilamorirainmensaarmadafavorconspiramedopersaegipciomacedoniopuedetriunfaraugustoacometiendotambienhuyendocleopatrapuedevencerastutomaliciaartetruecaaccioncontrariohuyendosigueamadafugitivacedeambasvictoriasamormarte,Heroico
Al mismo asunto,Anastasio Pantaleón de Ribera,15-17,pocadiegosoytintabiendebeesatintapocatupinturatantoespiritudoctamifiguracuantopudoadmitirlaminabrevesereternaauntiatrevefemateriaduraotravezanimadacriaturalucestupincelmialientodebetivuelvovivirimagenbellapacienciaheroicatumanoquedovocaldiceperegrinatantainmortalidadmeadquieroellaentreunootroserhumanosoloprimerotemomiruina,Religioso Mistico
Al excelentísimo señor Duque de Lerma en una fiesta de toros,Anastasio Pantaleón de Ribera,15-17,senorsiaunpeligrandoresplandeceutilarduatuosadiafaustollamenoinfelizdiaexaminartuespirituamanecepiadosoriesgopesarparecetusocorrotudiestrafiasiaveriguarteinmortalqueriayatuvalortucreditomerecehuyotubrazotimidafieramismodesdenfortunaculpapoderhicistevanogloriosamentedesesperasabeesfuerzoningunaseramejorayudamano,Religioso Mistico
Al mismo tema,Juan de Hinojedo Xarava,15-17,comoquiencontratosigovenenocerastaschelidrossacamismasponzonastriacaartehaciendomalobuenovuestroingeniomejorgalenobestiaferoznoflacasacaremediofuriaaplacahallandoellarigoresfrenoexperienciaaquellospubliquequienrigormaltratapicamonstruoochopiesmordeduravososleacuandolepiquesivuestroscantosremedioaplicanosentiradolortaldulzura,Religioso Mistico
Soneto,Juan de Castellanos,15-17,aquilectorverascosastocantesnuevastierrasinfluenciasvariasregionesmuchasdiferenciasbarbarosellashabitantessuplicotenoteespantessifueraguerrerascompetenciasencontraresalgunasmenudenciasdesenfadocomuncaminantespuesvivenpocosestediacomenzaroncimientosdemastrabajospadecidosconversacionestodaviarefierengratosdonososcuentosnodansinsaboroidos,Religioso Mistico
Soneto,Pedro Dávila y Vera,15-17,noporquenacesolmueraauroranipeligratusrayostubellezaantesusandofabiofinezasipuedecreceraumentadorapeligrohallagransenoravecesmalmayorgrandezapadecetiexcepcionestacertezapuesfelizsuertetusaludmejoraneptunoimperiogobernadoaumentanolaselementofuertedesdichastantashacausadocentrosiempremejorosuertevivaquiendioaumentodeseadopesarestiempomuerte,Religioso Mistico
"Vivamus, mea Lesbia, atque amenus...",Luis Martín de la Plaza,15-17,gozatuprimaveralesbiamiamurmurarcansadosviejosencomiendalovientoconsejostremulavozlenguafriaponersesolapagadiavuelveencendersedivinoslejospintancieloscarminbosquejosoromontesrayoscriasoltusojosamanecetuslabiospurpureacompetenciaagoraalbaclavelofreceedadinvisiblediligenciacomunocasooscurececuandotendravolverlicencia,Amoroso
Eróticas – - V -,Esteban Manuel de Villegas,15-17,herenciatuagripagenerososolteroestascesarteniegatuliaestaocasionteadoraciegacasarsefabioheredarforzosositantoamornoacudesingeniosovenuspicadafiscoentregapuesamigosiguequienteruegahonratuamadocompratureposodesmientaopiniontubuenconceptoerariocaduconuevoestadocesargravetuaficiontuliaanimofabiopuessicasadoleyjuliadebesesteaprietoyoesperoturemedioleyjulia,Amoroso
A Juan de Castellanos,Bernardo de Vargas Machuca,15-17,visenorvuestrahistoriaperegrinadondemostraisingenioperegrinoquiendesposaisdinoellatalesposonoindinaseabuenaventuramadrinamismodesposadopadrinopuesreytienemerecerdivinoharalarespetarcomodivinamonedacastellanostodostuvieronperfetasubidaquilatesgranosconfiadpuesdotilocuopoetalabrovuestrasmanostodossergrataaceta,Religioso Mistico
Soneto,Luis Martín de la Plaza,15-17,reinadesotrasfloresfrescarosaprimerohonorabrilestepradoasiteprivilegiecierzoheladorespeteheladarigurosaasigoceshermosapalmamisenoradoradocabelloadornescolorrosadoverrostroaumentesvergonzosameguardeslagrimasviertotupintadosenositetocalabiosaquellaquienadorotushojasmibieniraencubiertoporquesillegandulcebocadulcesseranlagrimaslloro,Amoroso
Soneto,Luis Tejada y Guzmán,15-17,madreestapurasangremedistecuandomeconcebistemecriastehoyhombrederramegastejustopuesesomeparistehijoaunpasoyatupasiontristedentroalmamiacreastetambienesesangrientoengastemicuerpoparticipenohicisteporquesicuandoyotantomehumillodolorafrentatormentotucuerpomipasionmeacompanaranohirieratualmatancruelcuchillomayordolorahorayosientoestedolormipasionfaltara,Heroico
Soneto,Mateo Vázquez de Leca,15-17,cuerpodiosleandroenternecidocuantomejortefuerahaberpasadobarcosvezmarsaladonopasarnadoabidonotefueramejorhabervividopiesenjutostumujergozadonollegarsestoresfriadoprimeranochemaridonosontanneciosotrosamadorespasantrianasevillatodasnochesbarquetesnuevosbuenalinotuvierontusamorestupasadoaguaherotortillacenosediabloparhuevos,Religioso Mistico
- VIII -,Juan de Arguijo,15-17,granpompeyoenemigofuertellegaoscuranochepobretrechodoamicassegurolibrepechonitemedanonirecelamuerteyallamarsegundavezadvierterogandodejamalcompuestolechofragilbarcapeligrosoestrechocortapresagosiniestrasuertebramafuriosomarsintiendopesosostienetimidopilotocesaranimadiceremaamigoolvidamiedoinfelizsucesocontrasteneuronotofortunacesarvacontigo,Religioso Mistico
A Fabio contra Aníbal Africano,Juan de Arguijo,15-17,mientrasquedecartagobanderastriunfarintentanvalorromanoesperavictoriosoafricanopisarvagotiberriberastugrandedictadorentrefierastrompaslentopieseguramanosangrealgunaderribastevanoorgulloarmasextranjerasnotevencioopinioncontrariaopuestorumortualabanzafacilmentedespreciasabioohprudenteesperarohvoluntariaconstanciaquienromaveralcanzaanibalrotovencedorfabio,Heroico
- XLIX -,Juan de Arguijo,15-17,notemasohbellisimotroyanoviendoarrebatadonuevovuelocorvastelevantacieloferozaveairevanonuncahasoidonombresoberanoaltoolimpopiedadcelojupiterdapluviasueloarmarayostonantemanocuyassacrasarashumilladogruesostorosofreceteucroidaimplorandoremedioquerellasmismosoynoaguilaeresdadodespojomiamortetraeolvidatuamadatroyasubemisestrella,Religioso Mistico
- XLI -,Juan de Arguijo,15-17,puesyadesenganoluzpuradescubrevanoerrormicuidadocaminoescogienganadomerediceotrasendamalseguracomonorompolazotanduraprisionmetienegravementeatadotardoesperosepultadociegoolvidoregionoscuraafrentosotemortardaperezaestorbaisvictoriadesenganorindasevalorvuestraporfianodigaculpandomiflaquezaatrevidoarrojodanoseguirbienfaltoosadia,Heroico
A Lope de Vega Carpio,Hernando de Soto,15-17,yadivinoespirituprimoresraroingeniodescubrirpudieraestavegacomponeriberaencumbramalezapastoresdaartenaturalescoloreshacepropioimpropiofueraresucitaaquellaedadprimeraardienteshonestisimosamoresvegaparaisobellosolohonoraumentoarcadiosuelohesperianuestrofielamparoquienviviendoeternamenteapoloapacentohumanovelomuereparthenopeosanazaro,Amoroso
Soneto,Francisco Caus,15-17,nieblalinocampoazulsurcabamausoleosagradoescondiasolorientecuyoocasodiaregionaugustatrasladabaeminentepenascointentabarumbotanfelizturbarguiaparofrentebajelquizaseriavercieloestrellabaviendofuegoeraesferacediotopetantoesplendorjuntonoyariscoescollosinoceraasiquisojavierguardarlepuntoporquesabesolcarreraeclipticanotuercedifunto,Religioso Mistico
Soneto,Antonio de Villegas,15-17,ohquientuviesecorazonaceronofuesefalsadoarmaalgunasufrirgolpesfortunaaquellasansiastristesmueroleedsenoramivivirprimerorevolvedhojastomandoinocenciacunahastallegarterminopostreroadondepodreisverfirmezaaccidentesdurossuavesllagadapiescabezadoloresagudossonyagravesvereisrendidafortalezadotieneamorfuerzasvosllaves,Amoroso
A los Reyes Católicos,Francisco Ponce de León,15-17,puesvuestrasantafeciudadplantaohreyeshechonombretomatiempocultorvilmahomagranadinosuelotrasplantanazcaallifulgorgloriatantacelebrarcandidapalomapecadocuellodomahijaadansiconcebidasantasiestadevocionpechopioaquelpuebloalzodandoleayudadosprincipescristianoscomotalesnomaravillaacrecientebriogranadaheroicapresurosaacudadefendertriunfosinmortales,Religioso Mistico
- XXXVII -,Juan de Arguijo,15-17,subegimiendomortalfatigagravepesohombrosllevasisifoaltomontecuandopruebapisarcumbremayormalobligacaefieropenascoenemigasuertecruelduroafanrenuevavuelveotravezdificilpruebatrabajofinconsiganoigualaaquelladesdichamiapuesalguntiempoaliviatormentohombrostalcargadesigualessufropesomayortalporfiapuntonoperdonapensamientoimportunamemoriamismales,Amoroso
